8339	4251	402	2024	6110	6452	5421	5505
4101	644	9009	1980	4406	1004	895	395
4803	9760	4720	1705	7286	4253	5657	774
5041	3929	9731	562	1308	6538	5842	4159
489	9155	6718	3222	2929	1266	7062	9286
5864	218	6762	8470	3601	6187	2620	4386
2110	2989	1548	2739	9085	8329	1560	3853
1450	7021	2420	3552	3224	7804	138	4365
7468	4082	7621	7334	3704	3534	2770	2020
904	4023	3814	5862	1154	4409	1576	260
1302	2383	4863	9874	8167	6079	4941	4102
11	2491	1048	4584	9338	6433	940	5930
582	8353	2210	3037	3931	6215	6067	537
8132	5494	4067	5679	1560	4842	5722	1448
4903	4541	7784	1516	7268	5489	2766	66
1681	6302	2678	7340	4441	8460	5100	7027
6214	8436	3648	8978	895	828	6331	2480
7429	8491	4346	7776	1101	1753	5478	4151
4893	3912	2132	6967	6213	1928	3876	4813
3373	5169	1135	3042	8376	3986	9341	9199
6266	3576	7640	3836	8519	259	359	6643
143	8188	6162	3404	6070	5765	524	9571
6259	872	7311	9980	841	5630	275	3768
6404	7090	9957	4809	4370	5745	9120	5963
1342	6636	8534	9318	5813	7252	818	4567
3591	3192	5379	5289	9659	8327	5416	7815
6601	6754	6883	3198	7810	7770	7782	6609
6139	1101	5687	4347	3961	8697	4908	7734
6683	3011	2488	8941	2741	4518	8229	7609
6764	6158	7930	1472	3968	7505	7587	9591
1527	6499	2890	9376	5484	9818	6368	3311
2151	725	4969	762	1805	6784	5956	5837
2036	127	4294	5157	1337	9924	693	8031
2760	7070	8087	6486	2924	17	9723	2127
9717	1239	2886	5899	2220	573	8582	7542
3951	2138	8813	6772	7287	9164	6575	4541
8536	1196	1856	9632	8980	1745	6673	2310
3529	7839	2387	9388	3456	3825	4373	9650
9539	7213	5635	5734	9443	4298	680	4211
1272	4660	2924	307	8305	4587	8059	893
6273	8594	4876	479	1669	7063	7317	3244
7861	9931	2650	3265	3848	7658	6236	7636
4197	6578	3810	1638	7287	4329	2529	5279
672	5283	4057	6023	6852	6592	2256	7060
2375	18	5162	961	8434	113	6628	2301
2833	9253	3541	3873	7881	262	3870	1773
4067	1523	323	3509	1264	9576	5733	9501
7621	7011	3964	5698	3822	3226	6008	4474
6416	9471	9569	4381	3692	9868	7904	2386
5454	4592	679	2099	1197	3212	8245	9285
4922	1148	1749	3636	9876	955	3294	6508
6002	8648	9690	1400	4037	5472	9606	711
9496	4086	9127	8945	478	5123	2019	6861
770	6221	6014	591	7599	3425	1551	7224
9301	8247	5091	5129	3808	7501	4993	9681
1460	4096	5382	9576	7842	5726	2112	342
1139	7494	8858	7783	2943	2892	6830	3908
7752	6598	8575	4423	266	9423	5518	4342
2084	5433	3278	3885	9284	4160	3079	9830
7865	5978	2649	277	5833	9210	9214	5652
1196	6004	8136	5068	5395	9108	9677	9384
4073	962	9226	4530	6802	2803	5582	952
3784	8601	3987	4339	2052	505	675	36
7684	6456	5762	90	9550	5362	7290	4299
6066	1317	3147	8467	6500	1194	2404	3965
51	9430	7879	6399	6318	1361	2004	167
900	9103	4073	4101	2128	4265	9067	2149
780	582	6234	524	3011	7385	270	532
588	7615	5976	4366	3405	6019	71	178
2285	3324	289	7117	6609	4034	6421	3175
6748	5527	5965	201	9319	9420	4972	2532
8601	8638	4399	5544	7802	4181	4727	3462
9581	3807	4021	7863	3877	5463	5714	1585
5121	6110	1332	2479	2498	1284	5840	5003
4130	6932	4337	2474	4239	4326	2355	1967
7084	1321	7234	4710	4485	4208	420	7959
7511	2467	5204	1074	2102	6882	4517	3052
8190	8933	9996	3458	8830	1612	4704	3632
6002	7945	4762	9201	5542	383	7690	5561
8529	3857	574	2467	3250	2982	7987	244
604	7719	9763	4133	2528	48	3362	6461
4010	5195	1464	5209	6619	6308	7951	9266
7132	8926	1905	509	3570	6700	4264	8819
5478	971	6171	2126	8236	7968	7925	6341
8109	6623	2108	6792	5712	546	9758	9528
431	6180	7156	8172	6731	7866	8777	7041
6021	2789	5710	9858	3649	8229	890	5027
2926	9506	5356	3218	1070	4822	5920	6514
8757	5634	3576	9502	4088	2483	200	9550
1804	6306	291	2585	410	8875	8804	6858
5866	2329	6189	7004	3665	7885	1655	2883
7137	2893	1136	7286	2378	2991	724	7783
8877	8362	5786	4231	2107	9749	8658	8649
2007	2390	8851	302	4224	5071	1040	158
392	3162	6025	1589	6986	2558	7927	7416
6795	938	7224	2919	1691	891	4406	8493
3755	6592	3378	354	6137	4922	3617	2377
7873	5321	3934	5229	7406	2358	5135	3971
5839	7480	8842	343	7062	4297	110	2074
1816	5595	3425	8306	8590	5003	6599	3583
2251	2203	6508	2158	9634	2577	9269	1974
8171	5544	6030	2341	1480	2609	9777	7063
8566	1866	8292	5697	2723	3658	6544	343
7832	403	6346	757	5079	5936	2217	1141
2152	3198	5708	3605	3705	252	3478	5544
4757	4060	457	11	1088	425	2671	9664
7876	761	2411	6033	2771	5191	3040	6329
9966	9666	9366	6361	5806	2480	7684	9994
8615	6546	7118	4953	8272	4746	9486	9100
9191	2515	8847	1585	7310	4982	2992	3113
5249	8987	4970	6210	7629	375	6192	8989
2263	7566	9425	4086	3411	365	671	6744
6047	7273	8101	4837	4608	5266	5333	9751
9268	4086	3201	7325	3694	3897	1103	5417
4944	6178	4260	2333	2250	7633	4163	9090
1942	361	6322	5252	7479	878	6961	53
2959	7840	8202	6275	4972	8538	1195	214
2974	7558	2462	4513	6287	5935	1168	3352
9356	6312	6101	4827	3530	5069	9368	1992
4124	8513	7472	4922	510	607	6539	2596
1515	6278	7325	6700	1085	8643	8925	4975
1580	8586	4423	318	2747	7796	3908	9054
3381	2300	6318	4847	625	4587	2534	390
2920	415	3178	1819	8752	5223	6134	1976
2866	928	6036	6922	3372	7888	3916	8553
8954	3008	8585	2755	604	1962	7944	3518
3914	8922	9548	3315	8706	9679	7950	1109
4956	9	2735	9871	8403	4194	7471	2593
6946	3695	470	2988	2873	9076	1582	5378
4101	4101	3630	944	1229	3612	4604	6684
5049	860	4233	1464	6826	1264	2801	2083
7670	3941	5379	6595	1353	3563	1580	2691
2945	1309	1510	3861	3079	2766	7788	7534
8333	4374	6340	5686	6832	2757	1342	9468
8702	7344	2301	7919	5696	9530	7451	9201
5186	6596	6269	8426	6058	8763	6987	3169
1645	954	373	6386	2396	3198	8861	3968
7864	9481	7576	8617	2959	7624	6631	5660
